hair;airborne;aquatic;predator;toothed;breathes;venomous;fins;legs;tail;domestic;catsize;classe
0;1;1;0;0;1;0;0;2;1;0;0;bird
1;0;0;0;1;1;0;0;4;1;0;0;mammal
0;1;0;0;0;1;0;0;2;1;0;0;bird
0;1;0;0;0;1;0;0;2;1;0;1;bird
0;0;0;0;0;1;0;0;0;0;0;0;invertebrate
0;0;1;1;1;0;0;1;0;1;0;0;fish
0;0;0;1;0;1;0;0;2;1;0;0;bird
0;0;0;0;0;1;0;0;0;0;0;0;invertebrate
0;0;1;0;1;1;0;0;4;0;0;0;amphibian
1;0;0;1;1;1;0;0;4;1;0;1;mammal
1;0;0;0;1;1;0;0;4;1;1;1;mammal
0;1;0;1;0;1;0;0;2;1;0;0;bird
1;0;0;0;1;1;0;0;4;1;1;1;mammal
1;0;0;0;1;1;0;0;4;1;0;1;mammal
0;0;0;0;0;1;0;0;4;1;0;1;reptile
1;0;0;0;1;1;0;0;2;0;0;1;mammal
1;0;0;0;1;1;0;0;4;1;0;1;mammal
0;0;1;0;1;0;0;1;0;1;1;0;fish
0;1;0;1;0;1;0;0;2;1;0;1;bird
1;1;0;0;1;1;0;0;2;1;0;0;mammal
0;0;0;0;0;1;0;0;6;0;0;0;insect
0;1;0;0;0;1;0;0;2;1;1;0;bird
0;0;0;1;0;0;0;0;0;0;0;0;invertebrate
0;0;1;1;0;0;0;0;6;0;0;0;invertebrate
0;0;1;1;1;1;0;1;0;1;0;1;mammal
0;0;1;0;1;0;0;1;0;1;0;0;fish
0;1;0;0;0;1;0;0;2;1;1;0;bird
1;0;0;1;1;1;0;0;4;1;0;1;mammal
0;0;1;1;1;0;0;1;0;1;0;0;fish
1;0;0;0;1;1;0;0;4;1;1;1;mammal
0;0;1;1;1;0;0;1;0;1;0;1;fish
0;0;1;1;0;1;0;0;2;1;0;1;bird
1;0;1;1;0;1;0;0;4;1;0;1;mammal
0;0;0;1;0;1;1;0;8;1;0;0;invertebrate
0;0;1;1;0;0;1;0;0;0;0;0;invertebrate
1;0;0;0;1;1;0;0;4;1;0;1;mammal
0;0;0;0;0;1;0;0;2;1;0;1;bird
1;0;0;1;1;1;0;0;4;0;0;1;mammal
0;1;0;0;0;1;0;0;2;1;1;0;bird
0;1;0;1;0;1;0;0;6;0;0;0;insect
0;0;1;1;1;0;1;0;0;1;0;0;reptile
0;0;1;1;0;0;0;0;6;0;0;0;invertebrate
0;1;0;1;0;1;0;0;2;1;0;0;bird
0;1;1;0;0;1;0;0;2;1;0;1;bird
1;0;0;0;1;1;0;0;2;1;0;1;mammal
1;0;0;0;1;1;0;0;4;1;1;0;mammal
1;0;0;0;1;1;0;0;4;1;0;1;mammal
0;0;0;1;1;1;0;0;4;1;0;0;reptile
0;1;1;1;0;1;0;0;2;1;0;0;bird
1;0;0;0;1;1;0;0;4;1;0;0;mammal
0;0;1;1;1;1;0;0;4;1;0;0;amphibian
1;1;0;0;0;1;0;0;6;0;0;0;insect
0;0;1;1;1;1;0;0;4;0;0;0;amphibian
